Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Mexico,CCC Empalme II,Natural gas,vapour,"Guaymas, Sonora",active,791,2019,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,,27.9456,-110.78956,791.0,Gas
Mexico,CCC Manzanillo II,Natural gas,,"Manzanillo, Colima",active,1413,1988,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,,19.0245214,-104.32128,1413.0,Gas
Mexico,CCC Poza Rica,Natural gas,vapour,"Poza Rica, Veracruz",active,255,2013,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,,20.5269129,-97.494941,255.0,Gas
Mexico,CCC Hermosillo,Natural gas,vapour,"Hermosillo, Sonora",active,263,2001,Naturgy,private,Ciudad de Mexico,,,https://globalpowergeneration-int.azurewebsites.net/es/proyectos/mexico/,29.0944271,-111.09693,263.0,Gas
Mexico,CCC Naco Nogales,Natural gas,,"Agua Prieta, Sonora",active,300,2003,Naturgy,private,Ciudad de Mexico,,,,31.2223071,-109.60781,300.0,Gas
Mexico,CCC Tuxpan III & IV,Natural gas,vapour,"Tuxpan, Veracruz",active,1007,2003,Naturgy,private,Ciudad de Mexico,,,,20.8381976,-97.253637,1007.0,Gas
Mexico,CCC La Caridad,Natural gas,vapour,"Nacozari, Sonora",active,250,2013,Grupo Mexico,private,Ciudad de Mexico,,,https://www.gmexico.com/Pages/Protege.aspx,30.521969,-109.62401,250.0,Gas
Mexico,CCC San Luis Potosí,Natural gas,,"San Luis Potosí, San Luis Potosí",active,343,2019,"Ranman Energy, S.AP.I de C.V.",private,Ciudad de Mexico,,,,22.0241506,-100.89411,343.0,Gas
Mexico,CCC Mérida III,Natural gas,,"Mérida, Yucatán",active,500,1997,AES,private,Ciudad de Mexico,,falls into Asia,http://www.aesmex.com/inicio/quienes-somos/nuestro-negocio/aes-merida-iii/,20.9333442,-89.6987343,500.0,Gas
Mexico,CCC Valladolid III,Natural gas,,"Valladolid, Yucatán",active,525,2006,Mitsui/Chubu Electric,private,Ciudad de Mexico,,falls into Asia,,20.695,-88.205,525.0,Gas
